STT,CID,SMILES,IC50 (uM),Substructures
39,74967,C1=CC(=CC=C1CON)[N+](=O)[O-].Cl,2.7,Other
40,75253,C1=CC(=C(C=C1O)O)N=NC2=NC=CS2,45.04,Other
41,81062,C1=CC2=NSN=C2C(=C1)[N+](=O)[O-],467,Other
42,98112,CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N,325,Indole; Tryptophan; Brassinin
43,99128,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C2=O,114,Other
44,99349,C1=CC(=CC(=C1)Cl)N2C=CN=C2,41,Imidazole
45,102313,C1=CC=C(C=C1)CON,10,Other
46,120425,COC1=CC=C(C=C1)CON.Cl,24,Other
47,122724,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O,8.41,Other
48,128994,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3C=CCC4(C)C,7.34,Furan
49,137153,C1=CC=C(C=C1)C2=NNN=C2,125.0333333,Triazole
50,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,10,Other
51,164676,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,10,Furan
52,203812,C1=CC(=CC(=C1)C(F)(F)F)CON.Cl,0.41,Other
53,207299,C1=CC(=CC(=C1)Cl)CON.Cl,0.15625,Other
54,217573,C1=CC(=CC=C1CON)Cl.Cl,1.3,Other
55,224502,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C2=N,22.5,Other
56,224922,C1=CC2=C(C=CC=C2[As](=O)(O)O)C(=C1)N,45.73,Other
57,230916,C1=CC=C(C=C1)N2C3=C(C(=O)C4=CC=CC=C4C3=O)N=N2,0.1,Triazole
58,233294,CC(=O)NC1=C(C2=CC=CC=C2C3=CC=CC=C31)OC,1000,Other
59,236715,CC1=CC=C(C=C1)S(=O)(=O)N=NC2=C(NC3=CC=CC=C32)O,1.78,Indole; Brassinin
60,239465,C1=CC(=C(C=C1Cl)Cl)CSC2=CC=NC(=O)N2,9.05,Other
61,244989,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4C)N,1000,Quinone
62,245295,C1=CC2=C(C(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])O)N=C1,11.12,Quinoline
63,248768,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)[N+](=O)[O-],63,Other
64,255448,COC1=CC=C(C=C1)C2=[N+](C3=CC=CC=C3C2=O)[O-],1.95,Other
65,259418,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)Cl,4.2925,Other
66,260644,C1=CC2=C(C=C(C(=C2N=C1)O)[N+](=O)[O-])F,14.61,Quinoline
67,261066,CN1C2=CC=CC=C2C3=C1C4=C(C=C3)C(=O)C=CC4=O,1000,Indole; Naphthoquinone; Brassinin
68,261602,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)N4C=CC=CC4=C3C(=O)O,0.714,Other
69,272989,C1=CC=C(C=C1)N=NC2=C(NC3=CC=CC=C32)O,1.95,Indole; Brassinin
70,273059,C1=CC=C(C=C1)NCCSC2=NC3=CC=CC=C3S2,115.4,Other
71,273769,CCOC(=O)C1=C2C=CC=CN2C3=C1C(=O)C4=CC=CC=C4C3=O,0.332,Other
72,275363,C1=CC2=C(C=CC(=C2N=C1)O)C=O,4.37,Quinoline
73,276137,COC1=C(C=CC2=C1CN3CCC4=CC5=C(C=C4C3C2)OCO5)O,1000,Other
74,278090,C1=CC=C(C(=C1)C2=NNN=N2)N,5.8,Other
75,281416,C1=CC(=CC=C1N=NC2=C(NC(=O)C=C2)O)S(=O)(=O)N,18.09,Other
76,291128,C1=CC=C2C(=C1)NC3=C(S2)C=NC=C3,421.6,Other
77,291217,CC(=O)OC1=C(C(=O)C2=CC=CC=C21)C3=CC=CC=C3,266,Other
78,291363,C1=CC=C2C(=C1)C=C(C(=C2N=NC3=CC=C(C=C3)CC(=O)O)O)C(=O)O,480,Other
79,302654,C1=CC(=CC(=C1)Br)NCC(=O)NN,1000,Other
80,313474,CSC(=O)SC,100,Other
81,313613,CC1=CC=C(C=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],10.9,Other
82,313614,CC1=CC=C(C=C1)S(=O)C2=CC=C(C3=NON=C23)[N+](=O)[O-],13.66666667,Other
83,313619,C1=CC=[N+](C(=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-])[O-],66,Other
84,320166,C1=CC=C(C(=C1)N)N2C=CN=C2,1300,Imidazole
85,324140,COCCN1C2=CC=CC=C2N=C3C1=NC(=O)N(C3=O)C4=CC=CC=C4,23.77,Other
86,325901,CCN1C2=CC=CC=C2N=C3C1=CC4=C(C(=O)C5=CC=CC=C5C4=C3)Cl,980,Quinoxaline
87,332650,COC1=C(C=C2C(=C1)C(=O)C(=[N+]2[O-])C3=CC=CC=C3)OC,5.9,Other
88,332972,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5O,24.3975,Imidazole
89,333509,C1CN2C(=C3C=CC=CC3=C2O)C4=C1N=NC4=O,1.72,Other
90,333769,C1=CC(=CC=C1CN2C3=C(C=CC(=C3)Cl)OC2=O)Cl,6.08,Other
91,333770,C1=CC=C2C(=C1)N(C(=O)O2)CC3=CC=C(C=C3)Cl,34.96,Other
92,333953,C1=CC=C2C(=C1)C=CC(=C2O)N=NC3=NNN=N3,3.78,Other
93,334304,CC1=CC=CC=C1C2=NC3=C(N2)C4=CC=CC=C4C5=CC=CC=C53,488,Imidazole
94,336270,C1=CC=C2C(=C1)C(=O)N3C4=C(C=CC(=C4)Cl)C(=O)C3=N2,74.37,Tryptanthrin
95,336699,CCOC(=O)C(=C1C2=CC=CC=C2NC1=O)C(=O)OCC,0.93,Other
96,356301,C1=CC=C(C=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],76,Other
97,356303,COC1=CC=C(C=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],96,Other
98,362360,CC1=CC=CC=C1C2=[N+](C3=CC=CC=C3C2=O)[O-],2.186666667,Other
99,363326,C1C(C(=O)NC1=O)C2=CNC3=CC=CC=C32,3,"Indole; Brassinin; 3-(1H-indol-3-yl)pyrrolidine-2,5-dione"
100,369539,CN1C2=C(C=C(C=C2)OC)C3=C1C4=C(C=C3)C(=O)C=CC4=O,1000,Indole; Naphthoquinone; Brassinin
101,371271,CC1=C2C3=C(C4=C(C=C3)C(=O)C=CC4=O)N(C2=CC=C1)C,1000,Indole; Naphthoquinone; Brassinin
102,372741,CC1=C(C2=C(C=C1)C=C(C(=O)C2=O)C(C)C)CCC=C(C)C,1.76,Other
103,378581,CC1=CC2=C(C=C1)N(C3=C2C=CC4=C3C(=O)C=CC4=O)C,1000,Indole; Naphthoquinone; Brassinin
104,381137,C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)C4=CC=CS4,50,Beta-carboline; Indole; Thiophene; Brassinin
105,389888,C[C@@H](CO)C1=C(C2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O)O,10,Other
106,405012,CN1C=C(C2=CC=CC=C21)C[C@H](C(=O)O)N,1549.175,Indole; Tryptophan; Brassinin
107,432556,C1=CC(=CC=C1C2=NOC(=N2)CSC(=N)N)Cl,0.89,Other
108,478572,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)Br)C(=O)C3=N2,0.574,Tryptanthrin
109,478573,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)[N+](=O)[O-])C(=O)C3=N2,0.252,Tryptanthrin
110,478574,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,0.539333333,Tryptanthrin
111,478577,CC1=CC2=C(C=C1)N3C(=NC4=CC=CC=C4C3=O)C2=O,121.2,Tryptanthrin
112,478643,C1=CC2=C(C=C1F)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,1.593,Tryptanthrin
113,478645,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=C(C=C4)F)C(=O)N23,1876.266667,Tryptanthrin
114,478647,C1=CC=C2C(=C1)C(=O)N3C4=C(C(=CC=C4)Cl)C(=O)C3=N2,8.19,Tryptanthrin
115,478670,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=CC=N4)C(=O)N23,0.55,Other
116,478671,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)F,0.0055,Other
117,479329,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55,Other
118,487078,C1=CC=C2C(=C1)C=CC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,48.6,Imidazole
119,487082,CC(C)(C)C1=CC=C(C=C1)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,4.4,Imidazole
120,497025,C1=CC(=CC=C1C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N)Br,0.79,Other
121,505776,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)Cl,0.0055,Other
122,505777,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)[N+](=O)[O-],0.0055,Other
123,505842,C1=CC2=C(C=C1F)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55,Other
124,505843,C1=CC2=C(C=C1Cl)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55,Other
125,505848,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)OC(F)(F)F,0.0055,Other
126,523214,COC(=O)C1=C2C=CC=CN2C3=C1C(=O)C4=CC=CC=C4C3=O,0.156,Other
127,592520,C1=CC(=CC(=C1)Cl)C2=NNN=N2,100,Other
128,594397,CC1=CC=C(C=C1)C2=NNN=C2,1000,Triazole
129,601577,C1=CC(=CC=C1C2=NNN=C2)Cl,673.5,Triazole
130,615185,C1=CC(=C(C(=C1)Cl)F)N2C(=O)C=CS2,11,Other
131,619402,CC1(CCCC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4CO)C,5.535,Furan
132,636411,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=CC(=N3)OC,100,Imidazole
133,651817,C1=CC=C(C=C1)CCN2C3=CC=CC=C3OC2=O,100,Other
134,658687,C1CN2C3=C(C=CC(=C3)N)SC2=N1,50,Other
135,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,237.9928571,Indole; Tryptophan; Brassinin
136,685364,C1=CC(=C(C=C1Cl)Cl)CSC2=NC=NN2,195,Other
137,689063,C1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3OC2=O,90.49,Other
138,697993,C1=CC=C2C(=C1)NC(=S)S2,126,Other
139,698285,COC(=O)/C(=C/1\C2=CC=CC=C2NC1=O)/C#N,1.8,Other
140,725906,CC(=O)/C=C\1/C2=CC=CC=C2NC1=O,1.69,Other
141,763555,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=C(C=C5)O,522,Imidazole
142,781705,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC(=CC=C5)O,142.5,Imidazole
143,802727,C1[C@@H](C(=O)NC1=O)C2=CNC3=CC=CC=C32,1.8,"Indole; Brassinin; 3-(1H-indol-3-yl)pyrrolidine-2,5-dione"
144,802728,C1[C@H](C(=O)NC1=O)C2=CNC3=CC=CC=C32,61,"Indole; Brassinin; 3-(1H-indol-3-yl)pyrrolidine-2,5-dione"
145,820765,CC1=CC=C(C=C1)C2=CSC(=S)N2,5.89422,Other
146,992980,CC1=CC=C(C=C1)C2=CSC3=C2C(=O)N(C=N3)CC(=O)NC4=CC=CC5=CC=CC=C54,20.1,Thiophene
147,992984,CC1=CC=C(C=C1)C2=CSC3=C2C(=O)N(C=N3)CC(=O)NC4=CC=C(C=C4)OC,3.2,Thiophene
148,993112,COC1=CC=C(C=C1)NC(=O)CN2C=NC3=C(C2=O)C(=CS3)C4=CC(=C(C=C4)OC)OC,5.6,Thiophene
149,1016842,CCOC1=CC(=CC(=C1OCC)OCC)C(=O)NC(=S)NC2=C(C=CC3=CC=CC=C32)O,18.225,Other
150,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3,Other
151,1167203,C1=COC(=C1)CNC(=O)CN2C=NC3=C(C2=O)C(=CS3)C4=CC=C(C=C4)Cl,12.4,Furan; Thiophene
152,1234909,C1=CC=C(C=C1)CN2C3=C(C(=O)C4=C(C3=O)N=NN4CC5=CC=CC=C5)N=N2,0.001,Triazole
153,1471805,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC(=O)C3=C(C=CS3)Br,42.5,Naphthoquinone; Thiophene
154,1712812,C1=CC=C(C=C1)CCCON,82,Other
155,2728703,C1=C(C=C(C2=C1C(=C(C#N)C#N)C3=C2C(=CC(=C3)S(=O)(=O)N)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)N,1,Other
156,2744597,C1=CC=C2C(=C1)N(C(=O)O2)CC(=O)C3=CC=C(C=C3)Cl,38.61,Other
157,2762970,C1=CC=C(C=C1)SC2=CNC3=C2C=C(C=C3)Cl,200,Indole; Brassinin
158,2763697,C1=CC2=C(N=C1)ON=C2N,100,Other
159,2764014,C1=CC(=C(C=C1Cl)Cl)CON.Cl,0.63,Other
160,2794173,C1=CC=C(C=C1)CNO,6,Other
161,2803091,COC1=CC=CC(=C1)NC(=S)NC2=CC=C(C=C2)O,380,Other
162,2806436,C1=CC=C(C(=C1)NC(=S)C(C#N)C(=O)NC2=CC=CC(=C2)C(F)(F)F)Cl,7,Other
163,2807416,C1=CC=C(C(=C1)SC(=O)NC2=CC=C(C=C2)Cl)Cl,7.033333333,Other
164,2810177,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)NN)N,13,Thiophene
165,2821620,CC1=CC=C(C=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],97,Other
166,2821621,C1=CC(=C(C=C1Cl)Cl)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],19.5,Other
167,2821626,C1=CC(=CC=C1F)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],10.13333333,Other
168,2824871,COC(=O)/C(=C(\C#N)/C1=CC=C(O1)Br)/C#N,0.71,Furan
169,2828334,CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32,76.33,Indole; Thiohydantoin; Brassinin
170,3000729,C1=CC=C(C=C1)C2=CSC(=S)N2,32.81143333,Other
171,3009082,C1=CC=C2C=C(C=CC2=C1)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,22.3,Imidazole
172,3028808,CC1=CC=C(C=C1)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,2,Imidazole
173,3161266,C1=CC(=C(C=C1Cl)Cl)CN2C=CN=C2,310,Imidazole
174,3223801,C1OC2=C(O1)C=C(C=C2)NC(=O)CSC3=NN=C4N3C(=CS4)C5=CC=CC=C5,3,Other
175,3446512,C1=CC=C(C(=C1)C2=NC=NN2)N,2,Other
176,3720080,C1=CC(=CC=C1C2=CSC(=S)N2)Cl,2.728795,Other
177,3901929,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=CC(=CC=C3)Cl,1.51,Indole; Brassinin
178,4099901,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5F,169.5,Imidazole
179,4190125,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=CC=C(C=C3)Cl,0.63,Indole; Brassinin
180,4310362,C1=CC(=CC=C1NC2=CC=C(C3=NON=C23)[N+](=O)[O-])Br,68,Other
181,4381769,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C=CS2,15,Other
182,4456830,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=CC=CC=C3C(F)(F)F,1.58,Indole; Brassinin
183,5240714,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=CC(=CC=C3)[N+](=O)[O-],3.74,Indole; Brassinin
184,5305899,CC1=C2C(=NOC2=NC(=C1Cl)C)N,5.5,Other
185,5318350,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CC[C@@H](C4(C)C)O,7.56,Furan
186,5353853,C1=CC(=C(C=C1Cl)Cl)CO/N=C(\CN2C=CN=C2)/C3=C(C=C(C=C3)Cl)Cl,28,Imidazole
187,5382764,C1=CC=C2C(=C1)C=C(N2)/C=C/[N+](=O)[O-],2.79,Indole; Brassinin
188,5712754,C1=CC=C2C(=C1)C=C(C(=O)O2)C(=O)O/N=C(\C3=CC=C(C=C3)OC4=C(C=C(C=C4)C(F)(F)F)[N+](=O)[O-])/N,20,Other
189,5937842,CC1=C(SN=N1)C(=O)O/N=C(\COC2=CC=C(C=C2)C3SCCS3)/N,50,Other
190,6223130,C1/C(=N\NC2=NC(=CS2)C3=CC=CC=C3)/C4=CC=CC=C4C1=O,10.39,Other
191,6400901,C1=CC(=CC(=C1)Br)C2=NNN=C2,1.47,Triazole
192,6409664,C1=CC(=CC(=C1)Cl)C2=NNN=C2,0.6975,Triazole
193,6419227,CC1=CC(=CC=C1)C2=NNN=C2,14.5,Triazole
194,6494204,C1=CC(=CC=C1C2C(=C(NC3=C2C(=O)NC(=O)N3)N)C#N)Cl,0.909,Other
195,6494205,C1=CC(=CC=C1C2C(=C(NC3=C2C(=O)NC(=O)N3)N)C#N)Br,0.942,Other
196,6512428,C1=C/C(=N/Cl)/C(=N\Cl)/C=C1,9.17,Other
197,7463552,C1=CC=C(C=C1)CCN2C3=C(C=CC(=C3)Cl)OC2=O,17.91,Other
198,8070877,C1=CC(=CC(=C1)F)CN2C3=C(C=CC(=C3)Cl)OC2=O,9.75,Other
199,8071109,C1=CC=C2C(=C1)N(C(=O)O2)CC3=CC(=CC=C3)F,30.8,Other
200,9584160,C1=CC=C(C(=C1)C(=O)O/N=C(/C2=CC=CC(=C2)CS(=O)(=O)C3=CC=C(C=C3)Cl)\N)Cl,60,Other
201,9584719,CC1=CC=C(C=C1)N2C(=NN=N2)C/C=N/NC3=CC=C(C=C3)Cl,54,Other
202,9685191,C1/C(=N\NC2=NC(=CS2)C3=CC(=CC=C3)O)/C4=CC=CC=C4C1=O,2.78,Other
203,9812842,CC1=CC=CC=C1C2=NNN=C2,69.5,Triazole
204,9815283,C1=CC(=CC(=C1)O)C2=NNN=C2,205,Triazole
205,9833992,C1=CC(=CN=C1)C2=NNN=C2,796,Triazole
206,9877471,C1=CC(=CC=C1C2=NNN=C2)F,290,Triazole
207,9877511,COC1=CC=CC=C1C2=NNN=C2,1028,Triazole
208,9899224,C1=CC(=CC=C1C2=NNN=C2)C(F)(F)F,2300,Triazole
209,9899225,C1=CC(=CC(=C1)C(F)(F)F)C2=NNN=C2,7.5,Triazole
210,9920462,C1=CC=C(C(=C1)C2=NNN=C2)F,75,Triazole
211,9920916,C1=CC=C(C(=C1)C2=NNN=C2)Br,89.8,Triazole
212,9942176,C1=CN=CC=C1C2=NNN=C2,85,Triazole
213,9964175,C1=CC(=CC(=C1)N)C2=NNN=C2,1500,Triazole
214,9964258,C1=CC=C(C(=C1)C2=NNN=C2)Cl,59.325,Triazole
215,10014426,C1=CC(=CN=C1)/C=C/C2=CNC3=C2C=CC(=C3)F,413.8,Indole; Brassinin
216,10307884,C1=CC=C(C(=C1)C2=CN=CN2)O,3.166666667,Imidazole
217,10355804,COC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl,140,Imidazole
218,10374898,C1=CC=C2C=C(C(=CC2=C1)CO)N,190,Other
219,10583021,C1C2=CC=CC=C2C3=CN=CN31,5.7,"Imidazole; 5H-imidazo(5,1-a)isoindole"
220,10890197,CCOC(=O)C1=CN=C2N1C3=CC=CC=C3S2,100,"Imidazo(2,1-b)thiazole; Imidazole"
221,10909696,C1=CN=CC=C1C2=CN=CN2,1800,Imidazole
222,11175492,C1=CC(=C(C=C1C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N)Cl)Cl,0.65,Other
223,11209246,C1=CC(=CC=C1C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N)Cl,1.365,Other
224,11255489,C1=CC(=CC(=C1)Cl)C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N,0.187,Other
225,11275256,C1=CC(=CC(=C1)C2=NNN=C2)C#N,2.85,Triazole
226,11381798,CC1([C@H](CCC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4CO)O)C,1.13,Furan
227,11501135,COC1=CC=CC=C1SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)OC,200,Indole; Brassinin
228,11580169,C1C(C(=O)NC1=O)C2=CNC3=C2C=CC(=C3)Br,0.42,"Indole; Brassinin; 3-(1H-indol-3-yl)pyrrolidine-2,5-dione"
229,11694196,C1=CC=C(C(=C1)C2=NNN=C2)C(F)(F)F,375,Triazole
230,11757335,CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2C)C)C(=O)OC3=CC(=C(C(=C3C)C)C(=O)O)OC)OC)C)O)C)O,15,Other
231,12014591,C1=CC(=CC=C1C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N)F,1.149,Other
232,12168693,C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)C4=CC=C(C=C4)[N+](=O)[O-],8.44,Beta-carboline; Indole; Brassinin
233,12243104,C1=CC=C2C(=C1)C=CN3C2=CN=C3,22,Imidazole; Isoquinoline
234,12461545,C1=CC(=CC(=C1)Cl)C2=NC=NN2,31,Other
235,12463137,C1=CC(=CC=C1C2=CN=CN2)O,1200,Imidazole
236,12471537,COC(=O)C1=CC2=CC=CC=C2C=C1N,460,Other
237,12474093,C1=CC(=CC=C1C2=CSC(=S)N2)Br,3.42572,Other
238,12509116,C1=CC(=C(C=C1Cl)N2C=CN=C2)O,2.1,Imidazole
239,12674978,CC(=O)CC1(C2=C(C=CC(=C2)Cl)NC1=O)O,1.97,Other
240,12760607,C1=CC=C(C(=C1)C(CN2C=CN=C2)O)Cl,200,Imidazole
241,12800721,C1=CC(=CC=C1CON)F.Cl,0.98,Other
242,12913249,C1=CC=C(C(=C1)N2C=CN=C2)O,16,Imidazole
243,13393248,C1=CC=C2C(=C1)C(C(=O)N2)C[C@@H](C(=O)O)N,3.39,Other
244,13642626,C1=CC=C2C(=C1)C=C(S2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,17.7,Imidazole; Thiophene
245,13762869,C1=CC=C2C(=C1)[C@H]([C@H]3N2C(=O)C4=CC=CC=C4N3)O,16,Other
246,13802130,C1=CC=C2C(=C1)C=C3C(=NOC3=N2)N,55,Quinoline
247,14063018,C1=CC(=C(C=C1Cl)C2=NNN=N2)N,0.22,Other
248,14142246,CSC(=NC#N)SCC1=CC=CC=C1,8.05,Other
249,14171303,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=N3)C4=CC=CC=N4,0.029,"Naphtho(2,3-d)thiazole-4,9-dione"
250,14171304,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=N3)C4=CC=NC=C4,0.0262,"Naphtho(2,3-d)thiazole-4,9-dione"
251,14178483,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=CSC=C3,63.6,Imidazole; Thiophene
252,14269350,C1=CC(=CC=C1C(=O)CN2C3=C(C=CC(=C3)Cl)OC2=O)Cl,24.92,Other
253,14269353,C1=CC=C2C(=C1)N(C(=O)O2)CC(C3=CC=C(C=C3)Cl)O,50.81,Other
254,14269354,C1=CC(=CC=C1C(CN2C3=C(C=CC(=C3)Cl)OC2=O)O)Cl,62.66,Other
