STT,CID,SMILES,IC50 (uM),Substructure,"1,3-diphenylurea",1H-indazole,Beta-carboline,Dihydropyridine,Furan,"Imidazo(2,1-b)thiazole",Imidazole,Indole,Isoquinoline,"Naphtho(2,3-d)imidazole-4,9-dione","Naphtho(2,3-d)thiazole-4,9-dione",Naphthoquinone,Quinoline,Quinone,Quinoxaline,Thiohydantoin,Thiophene,Triazole,Tryptophan,"1H-indole-4,7-dione","5H-imidazo(5,1-a)isoindole",Brassinin,Tryptanthrin,"3-(1H-indol-3-yl)pyrrolidine-2,5-dione",Other
17,8447,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,500,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
18,8530,C1=CC=C2C(=O)C=CC(=O)C2=C1,0.8575,Naphthoquinone,,,,,,,,,,,,x,,,,,,,,,,,,,
19,10313,C1=CC=C(C=C1)C(=O)NO,16,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
20,11157,C1=CC=C(C=C1)CNN,71,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
21,11988,C1=CC=C2C(=C1)N=C(S2)NN,35.15,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
22,13886,C1=CC=C(C=C1)C2=CN=CC=C2,161,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
23,18786,C1=CC=C(C=C1)C2=NC=NN2,580,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
24,21095,C1=CC=C2C(=C1)C(C(=O)N2)CCN,3.97,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
25,22244,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)N,15,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
26,22641,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CCOC(=O)C,1000,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
27,22704,C1=CC2=C(C=C1[N+](=O)[O-])SC(=N2)N,500,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
28,23116,C1=CC(=CC=C1NCSC2=CC=C(C=C2)Cl)[N+](=O)[O-],0.45,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
29,32238,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)O,130,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
30,37175,C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl,23,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
31,40302,C1=CC=C(C=C1)C2=CSC(=N2)N,1000,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
32,53277,CC1C(OC2=C(C1=O)C(=C3C(=C2)C(=C(C=C3O)O)C4=C(C=C(C5=C(C6=C(C=C54)OC(C(C6=O)C)C)O)O)O)O)C,44.09,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
33,64961,C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,90,Beta-carboline,,,x,,,,,x,,,,,,,,,,,,,,x,,,
34,65863,C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,6.1,Imidazole,,,,,,,x,,,,,,,,,,x,,,,,,,,
35,69590,C1=CC=C(C=C1)C2=CN=CN2,52.90555556,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
36,73468,C[C@@H]1[C@@H]([C@@]([C@H]([C@@H](O1)C2=C3C(=C(C=C2)O)C(=CC4=C3OC(=O)C5=C4C(=CC(=C5)C=C)OC)OC)O)(C)O)O,230,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
37,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,6.6,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
38,74787,C1=CC=C(C=C1)C2=[N+](C3=CC=CC=C3C2=O)[O-],2.056666667,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
39,74967,C1=CC(=CC=C1CON)[N+](=O)[O-].Cl,2.7,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
40,75253,C1=CC(=C(C=C1O)O)N=NC2=NC=CS2,45.04,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
41,81062,C1=CC2=NSN=C2C(=C1)[N+](=O)[O-],467,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
42,98112,CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N,325,Indole,,,,,,,,x,,,,,,,,,,,x,,,x,,,
43,99128,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C2=O,114,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
44,99349,C1=CC(=CC(=C1)Cl)N2C=CN=C2,41,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
45,102313,C1=CC=C(C=C1)CON,10,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
46,120425,COC1=CC=C(C=C1)CON.Cl,24,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
47,122724,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O,8.41,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
48,128994,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3C=CCC4(C)C,7.34,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
49,137153,C1=CC=C(C=C1)C2=NNN=C2,125.0333333,Triazole,,,,,,,,,,,,,,,,,,x,,,,,,,
50,160254,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,10,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
51,164676,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,10,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
52,203812,C1=CC(=CC(=C1)C(F)(F)F)CON.Cl,0.41,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
53,207299,C1=CC(=CC(=C1)Cl)CON.Cl,0.15625,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
54,217573,C1=CC(=CC=C1CON)Cl.Cl,1.3,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
55,224502,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C2=N,22.5,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
56,224922,C1=CC2=C(C=CC=C2[As](=O)(O)O)C(=C1)N,45.73,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
57,230916,C1=CC=C(C=C1)N2C3=C(C(=O)C4=CC=CC=C4C3=O)N=N2,0.1,Triazole,,,,,,,,,,,,,,,,,,x,,,,,,,
58,233294,CC(=O)NC1=C(C2=CC=CC=C2C3=CC=CC=C31)OC,1000,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
59,236715,CC1=CC=C(C=C1)S(=O)(=O)N=NC2=C(NC3=CC=CC=C32)O,1.78,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
60,239465,C1=CC(=C(C=C1Cl)Cl)CSC2=CC=NC(=O)N2,9.05,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
61,244989,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4C)N,1000,Quinone,,,,,,,,,,,,,,x,,,,,,,,,,,
62,245295,C1=CC2=C(C(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])O)N=C1,11.12,Quinoline,,,,,,,,,,,,,x,,,,,,,,,,,,
63,248768,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)[N+](=O)[O-],63,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
64,255448,COC1=CC=C(C=C1)C2=[N+](C3=CC=CC=C3C2=O)[O-],1.95,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
65,259418,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)Cl,4.2925,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
66,260644,C1=CC2=C(C=C(C(=C2N=C1)O)[N+](=O)[O-])F,14.61,Quinoline,,,,,,,,,,,,,x,,,,,,,,,,,,
67,261066,CN1C2=CC=CC=C2C3=C1C4=C(C=C3)C(=O)C=CC4=O,1000,Indole,,,,,,,,x,,,,x,,,,,,,,,,x,,,
68,261602,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)N4C=CC=CC4=C3C(=O)O,0.714,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
69,272989,C1=CC=C(C=C1)N=NC2=C(NC3=CC=CC=C32)O,1.95,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
70,273059,C1=CC=C(C=C1)NCCSC2=NC3=CC=CC=C3S2,115.4,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
71,273769,CCOC(=O)C1=C2C=CC=CN2C3=C1C(=O)C4=CC=CC=C4C3=O,0.332,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
72,275363,C1=CC2=C(C=CC(=C2N=C1)O)C=O,4.37,Quinoline,,,,,,,,,,,,,x,,,,,,,,,,,,
73,276137,COC1=C(C=CC2=C1CN3CCC4=CC5=C(C=C4C3C2)OCO5)O,1000,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
74,278090,C1=CC=C(C(=C1)C2=NNN=N2)N,5.8,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
75,281416,C1=CC(=CC=C1N=NC2=C(NC(=O)C=C2)O)S(=O)(=O)N,18.09,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
76,291128,C1=CC=C2C(=C1)NC3=C(S2)C=NC=C3,421.6,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
77,291217,CC(=O)OC1=C(C(=O)C2=CC=CC=C21)C3=CC=CC=C3,266,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
78,291363,C1=CC=C2C(=C1)C=C(C(=C2N=NC3=CC=C(C=C3)CC(=O)O)O)C(=O)O,480,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
79,302654,C1=CC(=CC(=C1)Br)NCC(=O)NN,1000,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
80,313474,CSC(=O)SC,100,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
81,313613,CC1=CC=C(C=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],10.9,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
82,313614,CC1=CC=C(C=C1)S(=O)C2=CC=C(C3=NON=C23)[N+](=O)[O-],13.66666667,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
83,313619,C1=CC=[N+](C(=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-])[O-],66,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
84,320166,C1=CC=C(C(=C1)N)N2C=CN=C2,1300,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
85,324140,COCCN1C2=CC=CC=C2N=C3C1=NC(=O)N(C3=O)C4=CC=CC=C4,23.77,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
86,325901,CCN1C2=CC=CC=C2N=C3C1=CC4=C(C(=O)C5=CC=CC=C5C4=C3)Cl,980,Quinoxaline,,,,,,,,,,,,,,,x,,,,,,,,,,
87,332650,COC1=C(C=C2C(=C1)C(=O)C(=[N+]2[O-])C3=CC=CC=C3)OC,5.9,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
88,332972,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5O,24.3975,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
89,333509,C1CN2C(=C3C=CC=CC3=C2O)C4=C1N=NC4=O,1.72,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
90,333769,C1=CC(=CC=C1CN2C3=C(C=CC(=C3)Cl)OC2=O)Cl,6.08,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
91,333770,C1=CC=C2C(=C1)N(C(=O)O2)CC3=CC=C(C=C3)Cl,34.96,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
92,333953,C1=CC=C2C(=C1)C=CC(=C2O)N=NC3=NNN=N3,3.78,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
93,334304,CC1=CC=CC=C1C2=NC3=C(N2)C4=CC=CC=C4C5=CC=CC=C53,488,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
94,336270,C1=CC=C2C(=C1)C(=O)N3C4=C(C=CC(=C4)Cl)C(=O)C3=N2,74.37,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
95,336699,CCOC(=O)C(=C1C2=CC=CC=C2NC1=O)C(=O)OCC,0.93,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
96,356301,C1=CC=C(C=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],76,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
97,356303,COC1=CC=C(C=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],96,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
98,362360,CC1=CC=CC=C1C2=[N+](C3=CC=CC=C3C2=O)[O-],2.186666667,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
99,363326,C1C(C(=O)NC1=O)C2=CNC3=CC=CC=C32,3,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,x,
100,369539,CN1C2=C(C=C(C=C2)OC)C3=C1C4=C(C=C3)C(=O)C=CC4=O,1000,Indole,,,,,,,,x,,,,x,,,,,,,,,,x,,,
101,371271,CC1=C2C3=C(C4=C(C=C3)C(=O)C=CC4=O)N(C2=CC=C1)C,1000,Indole,,,,,,,,x,,,,x,,,,,,,,,,x,,,
102,372741,CC1=C(C2=C(C=C1)C=C(C(=O)C2=O)C(C)C)CCC=C(C)C,1.76,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
103,378581,CC1=CC2=C(C=C1)N(C3=C2C=CC4=C3C(=O)C=CC4=O)C,1000,Indole,,,,,,,,x,,,,x,,,,,,,,,,x,,,
104,381137,C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)C4=CC=CS4,50,Beta-carboline,,,x,,,,,x,,,,,,,,,x,,,,,x,,,
105,389888,C[C@@H](CO)C1=C(C2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O)O,10,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
106,405012,CN1C=C(C2=CC=CC=C21)C[C@H](C(=O)O)N,1549.175,Indole,,,,,,,,x,,,,,,,,,,,x,,,x,,,
107,432556,C1=CC(=CC=C1C2=NOC(=N2)CSC(=N)N)Cl,0.89,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
108,478572,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)Br)C(=O)C3=N2,0.574,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
109,478573,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)[N+](=O)[O-])C(=O)C3=N2,0.252,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
110,478574,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,0.539333333,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
111,478577,CC1=CC2=C(C=C1)N3C(=NC4=CC=CC=C4C3=O)C2=O,121.2,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
112,478643,C1=CC2=C(C=C1F)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,1.593,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
113,478645,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=C(C=C4)F)C(=O)N23,1876.266667,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
114,478647,C1=CC=C2C(=C1)C(=O)N3C4=C(C(=CC=C4)Cl)C(=O)C3=N2,8.19,Tryptanthrin,,,,,,,,,,,,,,,,,,,,,,,x,,
115,478670,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=CC=N4)C(=O)N23,0.55,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
116,478671,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)F,0.0055,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
117,479329,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
118,487078,C1=CC=C2C(=C1)C=CC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,48.6,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
119,487082,CC(C)(C)C1=CC=C(C=C1)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,4.4,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
120,497025,C1=CC(=CC=C1C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N)Br,0.79,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
121,505776,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)Cl,0.0055,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
122,505777,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)[N+](=O)[O-],0.0055,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
123,505842,C1=CC2=C(C=C1F)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
124,505843,C1=CC2=C(C=C1Cl)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
125,505848,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)OC(F)(F)F,0.0055,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
126,523214,COC(=O)C1=C2C=CC=CN2C3=C1C(=O)C4=CC=CC=C4C3=O,0.156,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
127,592520,C1=CC(=CC(=C1)Cl)C2=NNN=N2,100,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
128,594397,CC1=CC=C(C=C1)C2=NNN=C2,1000,Triazole,,,,,,,,,,,,,,,,,,x,,,,,,,
129,601577,C1=CC(=CC=C1C2=NNN=C2)Cl,673.5,Triazole,,,,,,,,,,,,,,,,,,x,,,,,,,
130,615185,C1=CC(=C(C(=C1)Cl)F)N2C(=O)C=CS2,11,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
131,619402,CC1(CCCC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4CO)C,5.535,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
132,636411,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=CC(=N3)OC,100,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
133,651817,C1=CC=C(C=C1)CCN2C3=CC=CC=C3OC2=O,100,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
134,658687,C1CN2C3=C(C=CC(=C3)N)SC2=N1,50,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
135,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,237.9928571,Indole,,,,,,,,x,,,,,,,,,,,x,,,x,,,
136,685364,C1=CC(=C(C=C1Cl)Cl)CSC2=NC=NN2,195,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
137,689063,C1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3OC2=O,90.49,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
138,697993,C1=CC=C2C(=C1)NC(=S)S2,126,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
139,698285,COC(=O)/C(=C/1\C2=CC=CC=C2NC1=O)/C#N,1.8,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
140,725906,CC(=O)/C=C\1/C2=CC=CC=C2NC1=O,1.69,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
141,763555,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=C(C=C5)O,522,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
142,781705,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC(=CC=C5)O,142.5,Imidazole,,,,,,,x,,,,,,,,,,,,,,,,,,
143,802727,C1[C@@H](C(=O)NC1=O)C2=CNC3=CC=CC=C32,1.8,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,x,
144,802728,C1[C@H](C(=O)NC1=O)C2=CNC3=CC=CC=C32,61,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,x,
145,820765,CC1=CC=C(C=C1)C2=CSC(=S)N2,5.89422,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
146,992980,CC1=CC=C(C=C1)C2=CSC3=C2C(=O)N(C=N3)CC(=O)NC4=CC=CC5=CC=CC=C54,20.1,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
147,992984,CC1=CC=C(C=C1)C2=CSC3=C2C(=O)N(C=N3)CC(=O)NC4=CC=C(C=C4)OC,3.2,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
148,993112,COC1=CC=C(C=C1)NC(=O)CN2C=NC3=C(C2=O)C(=CS3)C4=CC(=C(C=C4)OC)OC,5.6,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
149,1016842,CCOC1=CC(=CC(=C1OCC)OCC)C(=O)NC(=S)NC2=C(C=CC3=CC=CC=C32)O,18.225,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
150,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
151,1167203,C1=COC(=C1)CNC(=O)CN2C=NC3=C(C2=O)C(=CS3)C4=CC=C(C=C4)Cl,12.4,Furan,,,,,x,,,,,,,,,,,,x,,,,,,,,
152,1234909,C1=CC=C(C=C1)CN2C3=C(C(=O)C4=C(C3=O)N=NN4CC5=CC=CC=C5)N=N2,0.001,Triazole,,,,,,,,,,,,,,,,,,x,,,,,,,
153,1471805,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC(=O)C3=C(C=CS3)Br,42.5,Naphthoquinone,,,,,,,,,,,,x,,,,,x,,,,,,,,
154,1712812,C1=CC=C(C=C1)CCCON,82,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
155,2728703,C1=C(C=C(C2=C1C(=C(C#N)C#N)C3=C2C(=CC(=C3)S(=O)(=O)N)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)N,1,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
156,2744597,C1=CC=C2C(=C1)N(C(=O)O2)CC(=O)C3=CC=C(C=C3)Cl,38.61,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
157,2762970,C1=CC=C(C=C1)SC2=CNC3=C2C=C(C=C3)Cl,200,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,,
158,2763697,C1=CC2=C(N=C1)ON=C2N,100,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
159,2764014,C1=CC(=C(C=C1Cl)Cl)CON.Cl,0.63,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
160,2794173,C1=CC=C(C=C1)CNO,6,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
161,2803091,COC1=CC=CC(=C1)NC(=S)NC2=CC=C(C=C2)O,380,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
162,2806436,C1=CC=C(C(=C1)NC(=S)C(C#N)C(=O)NC2=CC=CC(=C2)C(F)(F)F)Cl,7,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
163,2807416,C1=CC=C(C(=C1)SC(=O)NC2=CC=C(C=C2)Cl)Cl,7.033333333,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
164,2810177,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)NN)N,13,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
165,2821620,CC1=CC=C(C=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],97,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
166,2821621,C1=CC(=C(C=C1Cl)Cl)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],19.5,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
167,2821626,C1=CC(=CC=C1F)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],10.13333333,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
168,2824871,COC(=O)/C(=C(\C#N)/C1=CC=C(O1)Br)/C#N,0.71,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
169,2828334,CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32,76.33,Indole,,,,,,,,x,,,,,,,,x,,,,,,x,,,
