STT,CID,SMILES,IC50 (uM)
130,233294,CC(=O)NC1=C(C2=CC=CC=C2C3=CC=CC=C31)OC,1000
131,236715,CC1=CC=C(C=C1)S(=O)(=O)N=NC2=C(NC3=CC=CC=C32)O,1.78
132,239465,C1=CC(=C(C=C1Cl)Cl)CSC2=CC=NC(=O)N2,0.2
133,239465,C1=CC(=C(C=C1Cl)Cl)CSC2=CC=NC(=O)N2,0.75
134,239465,C1=CC(=C(C=C1Cl)Cl)CSC2=CC=NC(=O)N2,4.3
135,239465,C1=CC(=C(C=C1Cl)Cl)CSC2=CC=NC(=O)N2,4.4
136,239465,C1=CC(=C(C=C1Cl)Cl)CSC2=CC=NC(=O)N2,7.5
137,239465,C1=CC(=C(C=C1Cl)Cl)CSC2=CC=NC(=O)N2,20
138,244989,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4C)N,15.7
139,244989,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4C)N,1000
140,245295,C1=CC2=C(C(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])O)N=C1,11.12
141,248768,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)[N+](=O)[O-],6.3
142,248768,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)[N+](=O)[O-],63
143,255448,COC1=CC=C(C=C1)C2=[N+](C3=CC=CC=C3C2=O)[O-],1.6
144,255448,COC1=CC=C(C=C1)C2=[N+](C3=CC=CC=C3C2=O)[O-],2.3
145,255448,COC1=CC=C(C=C1)C2=[N+](C3=CC=CC=C3C2=O)[O-],63
146,259418,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)Cl,0.87
147,259418,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)Cl,1.5
148,259418,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)Cl,4.5
149,259418,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)Cl,5.5
150,259418,C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)Cl,6.3
151,260644,C1=CC2=C(C=C(C(=C2N=C1)O)[N+](=O)[O-])F,14.61
152,261066,CN1C2=CC=CC=C2C3=C1C4=C(C=C3)C(=O)C=CC4=O,42.5
153,261066,CN1C2=CC=CC=C2C3=C1C4=C(C=C3)C(=O)C=CC4=O,1000
154,261602,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)N4C=CC=CC4=C3C(=O)O,0.714
155,272989,C1=CC=C(C=C1)N=NC2=C(NC3=CC=CC=C32)O,1.95
156,273059,C1=CC=C(C=C1)NCCSC2=NC3=CC=CC=C3S2,8.2
157,273059,C1=CC=C(C=C1)NCCSC2=NC3=CC=CC=C3S2,115.4
158,273769,CCOC(=O)C1=C2C=CC=CN2C3=C1C(=O)C4=CC=CC=C4C3=O,0.332
159,275363,C1=CC2=C(C=CC(=C2N=C1)O)C=O,4.37
160,276137,COC1=C(C=CC2=C1CN3CCC4=CC5=C(C=C4C3C2)OCO5)O,35.6
161,276137,COC1=C(C=CC2=C1CN3CCC4=CC5=C(C=C4C3C2)OCO5)O,1000
162,278090,C1=CC=C(C(=C1)C2=NNN=N2)N,5.8
163,281416,C1=CC(=CC=C1N=NC2=C(NC(=O)C=C2)O)S(=O)(=O)N,18.09
164,291128,C1=CC=C2C(=C1)NC3=C(S2)C=NC=C3,31.6
165,291128,C1=CC=C2C(=C1)NC3=C(S2)C=NC=C3,421.6
166,291217,CC(=O)OC1=C(C(=O)C2=CC=CC=C21)C3=CC=CC=C3,266
167,291363,C1=CC=C2C(=C1)C=C(C(=C2N=NC3=CC=C(C=C3)CC(=O)O)O)C(=O)O,32.6
168,291363,C1=CC=C2C(=C1)C=C(C(=C2N=NC3=CC=C(C=C3)CC(=O)O)O)C(=O)O,480
169,302654,C1=CC(=CC(=C1)Br)NCC(=O)NN,44.9
170,302654,C1=CC(=CC(=C1)Br)NCC(=O)NN,1000
171,313474,CSC(=O)SC,10
172,313474,CSC(=O)SC,100
173,313613,CC1=CC=C(C=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],3.3
174,313613,CC1=CC=C(C=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],4.4
175,313613,CC1=CC=C(C=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],25
176,313614,CC1=CC=C(C=C1)S(=O)C2=CC=C(C3=NON=C23)[N+](=O)[O-],0.66
177,313614,CC1=CC=C(C=C1)S(=O)C2=CC=C(C3=NON=C23)[N+](=O)[O-],2.1
178,313614,CC1=CC=C(C=C1)S(=O)C2=CC=C(C3=NON=C23)[N+](=O)[O-],12
179,313614,CC1=CC=C(C=C1)S(=O)C2=CC=C(C3=NON=C23)[N+](=O)[O-],14
180,313614,CC1=CC=C(C=C1)S(=O)C2=CC=C(C3=NON=C23)[N+](=O)[O-],15
181,313619,C1=CC=[N+](C(=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-])[O-],24
182,313619,C1=CC=[N+](C(=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-])[O-],108
183,320166,C1=CC=C(C(=C1)N)N2C=CN=C2,1300
184,324140,COCCN1C2=CC=CC=C2N=C3C1=NC(=O)N(C3=O)C4=CC=CC=C4,23.77
185,325901,CCN1C2=CC=CC=C2N=C3C1=CC4=C(C(=O)C5=CC=CC=C5C4=C3)Cl,42.5
186,325901,CCN1C2=CC=CC=C2N=C3C1=CC4=C(C(=O)C5=CC=CC=C5C4=C3)Cl,980
187,332650,COC1=C(C=C2C(=C1)C(=O)C(=[N+]2[O-])C3=CC=CC=C3)OC,1.5
188,332650,COC1=C(C=C2C(=C1)C(=O)C(=[N+]2[O-])C3=CC=CC=C3)OC,4.1
189,332650,COC1=C(C=C2C(=C1)C(=O)C(=[N+]2[O-])C3=CC=CC=C3)OC,4.3
190,332650,COC1=C(C=C2C(=C1)C(=O)C(=[N+]2[O-])C3=CC=CC=C3)OC,9.3
191,332650,COC1=C(C=C2C(=C1)C(=O)C(=[N+]2[O-])C3=CC=CC=C3)OC,206
192,332972,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5O,3.3
193,332972,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5O,4.9
194,332972,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5O,7.8
195,332972,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5O,11.79
196,332972,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5O,26
197,332972,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5O,52
198,333509,C1CN2C(=C3C=CC=CC3=C2O)C4=C1N=NC4=O,1.72
199,333769,C1=CC(=CC=C1CN2C3=C(C=CC(=C3)Cl)OC2=O)Cl,6.08
200,333770,C1=CC=C2C(=C1)N(C(=O)O2)CC3=CC=C(C=C3)Cl,34.96
201,333953,C1=CC=C2C(=C1)C=CC(=C2O)N=NC3=NNN=N3,3.78
202,334304,CC1=CC=CC=C1C2=NC3=C(N2)C4=CC=CC=C4C5=CC=CC=C53,464
203,334304,CC1=CC=CC=C1C2=NC3=C(N2)C4=CC=CC=C4C5=CC=CC=C53,512
204,336270,C1=CC=C2C(=C1)C(=O)N3C4=C(C=CC(=C4)Cl)C(=O)C3=N2,0.183
205,336270,C1=CC=C2C(=C1)C(=O)N3C4=C(C=CC(=C4)Cl)C(=O)C3=N2,0.183
206,336270,C1=CC=C2C(=C1)C(=O)N3C4=C(C=CC(=C4)Cl)C(=O)C3=N2,74.37
207,336270,C1=CC=C2C(=C1)C(=O)N3C4=C(C=CC(=C4)Cl)C(=O)C3=N2,74.37
208,336699,CCOC(=O)C(=C1C2=CC=CC=C2NC1=O)C(=O)OCC,0.93
209,356301,C1=CC=C(C=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],76
210,356303,COC1=CC=C(C=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],96
211,362360,CC1=CC=CC=C1C2=[N+](C3=CC=CC=C3C2=O)[O-],0.46
212,362360,CC1=CC=CC=C1C2=[N+](C3=CC=CC=C3C2=O)[O-],2.2
213,362360,CC1=CC=CC=C1C2=[N+](C3=CC=CC=C3C2=O)[O-],3.9
214,363326,C1C(C(=O)NC1=O)C2=CNC3=CC=CC=C32,3
215,363326,C1C(C(=O)NC1=O)C2=CNC3=CC=CC=C32,3
216,363326,C1C(C(=O)NC1=O)C2=CNC3=CC=CC=C32,3
217,369539,CN1C2=C(C=C(C=C2)OC)C3=C1C4=C(C=C3)C(=O)C=CC4=O,25.5
218,369539,CN1C2=C(C=C(C=C2)OC)C3=C1C4=C(C=C3)C(=O)C=CC4=O,1000
219,371271,CC1=C2C3=C(C4=C(C=C3)C(=O)C=CC4=O)N(C2=CC=C1)C,35.6
220,371271,CC1=C2C3=C(C4=C(C=C3)C(=O)C=CC4=O)N(C2=CC=C1)C,1000
221,372741,CC1=C(C2=C(C=C1)C=C(C(=O)C2=O)C(C)C)CCC=C(C)C,1.76
222,378581,CC1=CC2=C(C=C1)N(C3=C2C=CC4=C3C(=O)C=CC4=O)C,46.7
223,378581,CC1=CC2=C(C=C1)N(C3=C2C=CC4=C3C(=O)C=CC4=O)C,1000
224,381137,C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)C4=CC=CS4,50
225,389888,C[C@@H](CO)C1=C(C2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O)O,10
226,405012,CN1C=C(C2=CC=CC=C21)C[C@H](C(=O)O)N,95.6
227,405012,CN1C=C(C2=CC=CC=C21)C[C@H](C(=O)O)N,100
228,405012,CN1C=C(C2=CC=CC=C21)C[C@H](C(=O)O)N,696.7
229,405012,CN1C=C(C2=CC=CC=C21)C[C@H](C(=O)O)N,1500
230,405012,CN1C=C(C2=CC=CC=C21)C[C@H](C(=O)O)N,1500
231,405012,CN1C=C(C2=CC=CC=C21)C[C@H](C(=O)O)N,2500
232,405012,CN1C=C(C2=CC=CC=C21)C[C@H](C(=O)O)N,100000
233,432556,C1=CC(=CC=C1C2=NOC(=N2)CSC(=N)N)Cl,0.89
234,432556,C1=CC(=CC=C1C2=NOC(=N2)CSC(=N)N)Cl,1.2
235,478572,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)Br)C(=O)C3=N2,0.0539
236,478572,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)Br)C(=O)C3=N2,0.574
237,478572,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)Br)C(=O)C3=N2,0.574
238,478572,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)Br)C(=O)C3=N2,53900
239,478573,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)[N+](=O)[O-])C(=O)C3=N2,1.80E-05
240,478573,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)[N+](=O)[O-])C(=O)C3=N2,0.103
241,478573,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)[N+](=O)[O-])C(=O)C3=N2,0.103
242,478573,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)[N+](=O)[O-])C(=O)C3=N2,0.55
243,478573,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)[N+](=O)[O-])C(=O)C3=N2,18
244,478574,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,0.023
245,478574,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,0.534
246,478574,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,0.534
247,478574,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,0.55
248,478574,C1=CC=C2C(=C1)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,23000
249,478577,CC1=CC2=C(C=C1)N3C(=NC4=CC=CC=C4C3=O)C2=O,10
250,478577,CC1=CC2=C(C=C1)N3C(=NC4=CC=CC=C4C3=O)C2=O,121.2
251,478577,CC1=CC2=C(C=C1)N3C(=NC4=CC=CC=C4C3=O)C2=O,121.2
252,478577,CC1=CC2=C(C=C1)N3C(=NC4=CC=CC=C4C3=O)C2=O,3900
253,478643,C1=CC2=C(C=C1F)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,0.466
254,478643,C1=CC2=C(C=C1F)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,0.466
255,478643,C1=CC2=C(C=C1F)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,2.72
256,478643,C1=CC2=C(C=C1F)C(=O)N3C4=C(C=C(C=C4)F)C(=O)C3=N2,2.72
257,478645,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=C(C=C4)F)C(=O)N23,864.4
258,478645,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=C(C=C4)F)C(=O)N23,864.4
259,478645,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=C(C=C4)F)C(=O)N23,3900
260,478647,C1=CC=C2C(=C1)C(=O)N3C4=C(C(=CC=C4)Cl)C(=O)C3=N2,0.0271
261,478647,C1=CC=C2C(=C1)C(=O)N3C4=C(C(=CC=C4)Cl)C(=O)C3=N2,8.19
262,478647,C1=CC=C2C(=C1)C(=O)N3C4=C(C(=CC=C4)Cl)C(=O)C3=N2,8.19
263,478647,C1=CC=C2C(=C1)C(=O)N3C4=C(C(=CC=C4)Cl)C(=O)C3=N2,27100
264,478670,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=CC=N4)C(=O)N23,0.55
265,478670,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=CC=N4)C(=O)N23,0.55
266,478671,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)F,0.0055
267,478671,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)F,0.0055
268,479329,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55
269,479329,C1=CC=C2C(=C1)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55
270,487078,C1=CC=C2C(=C1)C=CC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,48.6
271,487082,CC(C)(C)C1=CC=C(C=C1)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,4.4
272,497025,C1=CC(=CC=C1C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N)Br,0.79
273,505776,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)Cl,0.0055
274,505777,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)[N+](=O)[O-],0.0055
275,505777,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)[N+](=O)[O-],0.0055
276,505842,C1=CC2=C(C=C1F)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55
277,505842,C1=CC2=C(C=C1F)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55
278,505843,C1=CC2=C(C=C1Cl)C(=O)C3=NC4=C(C=CN=C4)C(=O)N23,0.55
279,505848,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)OC(F)(F)F,0.0055
280,523214,COC(=O)C1=C2C=CC=CN2C3=C1C(=O)C4=CC=CC=C4C3=O,0.156
281,592520,C1=CC(=CC(=C1)Cl)C2=NNN=N2,100
282,594397,CC1=CC=C(C=C1)C2=NNN=C2,1000
283,601577,C1=CC(=CC=C1C2=NNN=C2)Cl,530
284,601577,C1=CC(=CC=C1C2=NNN=C2)Cl,817
285,615185,C1=CC(=C(C(=C1)Cl)F)N2C(=O)C=CS2,4.8
286,615185,C1=CC(=C(C(=C1)Cl)F)N2C(=O)C=CS2,11
287,615185,C1=CC(=C(C(=C1)Cl)F)N2C(=O)C=CS2,200
288,619402,CC1(CCCC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4CO)C,1.07
289,619402,CC1(CCCC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4CO)C,10
290,636411,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=CC(=N3)OC,100
291,651817,C1=CC=C(C=C1)CCN2C3=CC=CC=C3OC2=O,100
292,658687,C1CN2C3=C(C=CC(=C3)N)SC2=N1,50
293,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,0.078
294,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,10
295,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,18.4
296,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,18.4
